epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7097,1.84265,8.37273,0.01632,0.00376,0.31746,0.02791,0.01558,1.5496,9.68046,0.01556,1.176e-05,1.176e-05,1.176e-05
2,104.965,1.81588,8.03145,0.01503,0.3393,0.05556,0.03128,0.01653,1.67848,9.4307,0.01677,2.89842e-05,2.89842e-05,2.89842e-05
3,154.286,1.59994,6.88754,0.0109,0.79762,0.05556,0.04902,0.03225,1.59262,9.16098,0.01587,4.57094e-05,4.57094e-05,4.57094e-05
4,203.972,1.43176,6.51033,0.01055,0.56619,0.11111,0.05174,0.03227,1.57145,8.84983,0.0158,6.19357e-05,6.19357e-05,6.19357e-05
5,254.748,1.50219,6.74409,0.01044,0.73076,0.12698,0.0683,0.04078,1.53642,8.75688,0.01524,7.7663e-05,7.7663e-05,7.7663e-05
6,306.214,1.34278,7.07625,0.01121,0.6929,0.22222,0.17719,0.12753,1.4588,8.3509,0.01361,9.28914e-05,9.28914e-05,9.28914e-05
7,356.116,1.60626,6.45225,0.01148,0.88977,0.22222,0.18401,0.14482,1.39135,8.15466,0.01271,0.000107621,0.000107621,0.000107621
8,406.008,1.25764,6.51354,0.00918,0.89454,0.22222,0.22415,0.18039,1.26802,7.85186,0.01127,0.000121851,0.000121851,0.000121851
9,461.515,1.28417,5.56294,0.00972,0.89012,0.24625,0.23384,0.17447,1.29596,7.62253,0.01175,0.000135583,0.000135583,0.000135583
10,518.148,1.17939,4.77041,0.00833,0.84628,0.22222,0.24205,0.18437,1.43291,7.54235,0.01306,0.000148815,0.000148815,0.000148815
11,574.113,1.24756,5.26035,0.00868,0.84722,0.266,0.31002,0.25099,1.53941,7.27962,0.01416,0.000161549,0.000161549,0.000161549
12,630.988,1.15869,4.87707,0.00838,0.86551,0.22222,0.29072,0.24361,1.38171,7.04066,0.01279,0.000173783,0.000173783,0.000173783
13,684.022,1.3212,4.66129,0.00939,0.95078,0.21567,0.30073,0.25655,1.34386,6.93097,0.01175,0.000185519,0.000185519,0.000185519
14,736.548,1.08245,4.41666,0.00791,0.98878,0.22222,0.3305,0.27406,1.22993,6.83161,0.01154,0.000196756,0.000196756,0.000196756
15,788.112,1.16786,4.32115,0.00812,0.98878,0.22222,0.3305,0.27406,1.22993,6.83161,0.01154,0.000207493,0.000207493,0.000207493
16,840.262,1.14725,4.0738,0.00718,0.84357,0.27778,0.35537,0.27824,1.20266,6.68402,0.01136,0.000217732,0.000217732,0.000217732
17,888.39,1.23662,3.78643,0.00879,0.88742,0.33333,0.36216,0.28369,1.27126,6.6716,0.01215,0.000227472,0.000227472,0.000227472
18,936.274,1.1326,4.20817,0.00803,0.88742,0.33333,0.36216,0.28369,1.27126,6.6716,0.01215,0.000236713,0.000236713,0.000236713
19,984.46,1.2102,3.84119,0.00906,0.79874,0.33333,0.36448,0.31418,1.30769,6.44694,0.01236,0.000245455,0.000245455,0.000245455
20,1031.1,1.00583,3.66132,0.00649,0.7585,0.34921,0.37429,0.29948,1.33766,6.17689,0.01279,0.000253698,0.000253698,0.000253698
21,1079.63,1.11082,3.70035,0.00798,0.7585,0.34921,0.37429,0.29948,1.33766,6.17689,0.01279,0.000261442,0.000261442,0.000261442
22,1126.81,1.13743,3.5413,0.00887,0.9237,0.27778,0.5283,0.38479,1.27746,5.62079,0.01194,0.000268687,0.000268687,0.000268687
23,1175.32,1.03193,3.66202,0.00848,0.9237,0.27778,0.5283,0.38479,1.27746,5.62079,0.01194,0.000275433,0.000275433,0.000275433
24,1224.29,1.09025,4.01477,0.00803,0.9038,0.30952,0.65275,0.4272,1.28338,5.11856,0.01186,0.00028168,0.00028168,0.00028168
25,1273.32,1.0854,3.38939,0.00866,0.9038,0.30952,0.65275,0.4272,1.28338,5.11856,0.01186,0.000287428,0.000287428,0.000287428
26,1321.14,1.01362,3.53399,0.00871,0.88464,0.37389,0.71612,0.47455,1.13387,4.76427,0.01051,0.000292677,0.000292677,0.000292677
27,1370.53,1.12382,3.154,0.00837,0.88464,0.37389,0.71612,0.47455,1.13387,4.76427,0.01051,0.000297427,0.000297427,0.000297427
28,1422.25,1.06965,2.92282,0.00753,0.7355,0.50794,0.62337,0.45,1.06588,4.58444,0.00998,0.000301678,0.000301678,0.000301678
29,1480.82,1.13594,2.47891,0.00734,0.7355,0.50794,0.62337,0.45,1.06588,4.58444,0.00998,0.000305431,0.000305431,0.000305431
30,1533.28,1.03582,2.8922,0.00717,0.7355,0.50794,0.62337,0.45,1.06588,4.58444,0.00998,0.000308684,0.000308684,0.000308684
31,1583.54,1.10196,2.63089,0.00748,0.81549,0.3173,0.62442,0.44941,1.14267,4.38283,0.01054,0.000311438,0.000311438,0.000311438
32,1637.77,0.98413,2.70961,0.00654,0.81549,0.3173,0.62442,0.44941,1.14267,4.38283,0.01054,0.000313694,0.000313694,0.000313694
33,1688.76,1.04806,2.91813,0.00742,0.78656,0.38152,0.65057,0.45322,1.21004,4.3234,0.01125,0.00031545,0.00031545,0.00031545
34,1740.25,1.03553,2.52472,0.00842,0.78656,0.38152,0.65057,0.45322,1.21004,4.3234,0.01125,0.000313572,0.000313572,0.000313572
35,1788.89,0.90815,2.52275,0.00728,0.78656,0.38152,0.65057,0.45322,1.21004,4.3234,0.01125,0.000305256,0.000305256,0.000305256
36,1837.97,1.14864,2.96955,0.00881,0.88268,0.41962,0.81352,0.54372,1.15064,4.09391,0.01038,0.00029694,0.00029694,0.00029694
37,1888.15,1.04623,2.51952,0.00787,0.88268,0.41962,0.81352,0.54372,1.15064,4.09391,0.01038,0.000288624,0.000288624,0.000288624
38,1940.19,0.98899,2.17773,0.00734,0.88268,0.41962,0.81352,0.54372,1.15064,4.09391,0.01038,0.000280308,0.000280308,0.000280308
39,1988.36,1.07249,2.58796,0.00775,0.75501,0.58129,0.89566,0.61925,1.01311,3.62057,0.00946,0.000271992,0.000271992,0.000271992
40,2035.66,1.02516,2.4241,0.00626,0.75501,0.58129,0.89566,0.61925,1.01311,3.62057,0.00946,0.000263676,0.000263676,0.000263676
41,2085.31,1.01816,2.4805,0.0065,0.82344,0.61905,0.89822,0.66099,1.02449,2.98295,0.01022,0.00025536,0.00025536,0.00025536
42,2132.71,0.94437,1.97258,0.00564,0.82344,0.61905,0.89822,0.66099,1.02449,2.98295,0.01022,0.000247044,0.000247044,0.000247044
43,2185.54,0.91956,2.11169,0.00658,0.82344,0.61905,0.89822,0.66099,1.02449,2.98295,0.01022,0.000238728,0.000238728,0.000238728
44,2236.73,1.02155,2.34183,0.00862,0.59665,0.83333,0.91578,0.68851,1.02376,2.69654,0.01063,0.000230412,0.000230412,0.000230412
45,2287.76,0.97316,2.19491,0.00791,0.59665,0.83333,0.91578,0.68851,1.02376,2.69654,0.01063,0.000222096,0.000222096,0.000222096
46,2336.5,0.98598,2.1415,0.00696,0.59665,0.83333,0.91578,0.68851,1.02376,2.69654,0.01063,0.00021378,0.00021378,0.00021378
47,2385.69,1.11259,2.25475,0.00968,0.63638,0.88889,0.90711,0.70444,1.01503,2.53415,0.01041,0.000205464,0.000205464,0.000205464
48,2436.09,1.03325,2.03288,0.0069,0.63638,0.88889,0.90711,0.70444,1.01503,2.53415,0.01041,0.000197148,0.000197148,0.000197148
49,2484.77,1.13838,2.30027,0.00911,0.57649,0.87037,0.88348,0.67396,0.98892,2.45808,0.00966,0.000188832,0.000188832,0.000188832
50,2530.91,0.92552,1.81641,0.00634,0.57649,0.87037,0.88348,0.67396,0.98892,2.45808,0.00966,0.000180516,0.000180516,0.000180516
51,2576.65,0.91411,1.82047,0.00669,0.57649,0.87037,0.88348,0.67396,0.98892,2.45808,0.00966,0.0001722,0.0001722,0.0001722
52,2622.1,0.82962,1.60981,0.00587,0.56384,0.896,0.89359,0.67041,0.97708,2.40585,0.00913,0.000163884,0.000163884,0.000163884
53,2667.25,0.95432,2.24661,0.00734,0.56384,0.896,0.89359,0.67041,0.97708,2.40585,0.00913,0.000155568,0.000155568,0.000155568
54,2716.18,0.94513,1.89141,0.00644,0.56384,0.896,0.89359,0.67041,0.97708,2.40585,0.00913,0.000147252,0.000147252,0.000147252
55,2766.28,1.00977,1.87492,0.00669,0.53661,0.81481,0.8958,0.67023,1.01388,2.35549,0.00924,0.000138936,0.000138936,0.000138936
56,2811.86,0.90516,1.79805,0.00707,0.53661,0.81481,0.8958,0.67023,1.01388,2.35549,0.00924,0.00013062,0.00013062,0.00013062
57,2856.87,0.8961,1.91427,0.00736,0.53228,0.81481,0.89167,0.66472,1.04186,2.32953,0.00963,0.000122304,0.000122304,0.000122304
58,2902.7,0.85952,1.54403,0.00613,0.53228,0.81481,0.89167,0.66472,1.04186,2.32953,0.00963,0.000113988,0.000113988,0.000113988
59,2947.59,0.83915,1.60905,0.00596,0.53228,0.81481,0.89167,0.66472,1.04186,2.32953,0.00963,0.000105672,0.000105672,0.000105672
60,2994.77,0.93397,1.75604,0.00728,0.53564,0.80924,0.89837,0.66551,1.05845,2.29476,0.0098,9.7356e-05,9.7356e-05,9.7356e-05
61,3040.57,0.85301,2.1496,0.00804,0.53564,0.80924,0.89837,0.66551,1.05845,2.29476,0.0098,8.904e-05,8.904e-05,8.904e-05
62,3092.93,0.78814,1.93221,0.0069,0.53564,0.80924,0.89837,0.66551,1.05845,2.29476,0.0098,8.0724e-05,8.0724e-05,8.0724e-05
63,3139.32,0.86313,1.99481,0.00686,0.57192,0.79068,0.89833,0.66399,1.05877,2.2335,0.00978,7.2408e-05,7.2408e-05,7.2408e-05
64,3185.5,0.86616,2.18623,0.00816,0.57192,0.79068,0.89833,0.66399,1.05877,2.2335,0.00978,6.4092e-05,6.4092e-05,6.4092e-05
65,3231.88,0.8996,2.03296,0.00797,0.68534,0.77778,0.89814,0.66831,1.05501,2.18216,0.00965,5.5776e-05,5.5776e-05,5.5776e-05
66,3276.54,0.91402,1.95135,0.00767,0.68534,0.77778,0.89814,0.66831,1.05501,2.18216,0.00965,4.746e-05,4.746e-05,4.746e-05
67,3321.88,0.84243,1.91496,0.00672,0.68534,0.77778,0.89814,0.66831,1.05501,2.18216,0.00965,3.9144e-05,3.9144e-05,3.9144e-05
68,3367.24,0.81649,1.93776,0.00677,0.69618,0.77778,0.8973,0.66193,1.03362,2.14306,0.00928,3.0828e-05,3.0828e-05,3.0828e-05
69,3411.79,0.82834,1.91925,0.00582,0.69618,0.77778,0.8973,0.66193,1.03362,2.14306,0.00928,2.2512e-05,2.2512e-05,2.2512e-05
70,3455.8,0.81755,1.93371,0.00603,0.69618,0.77778,0.8973,0.66193,1.03362,2.14306,0.00928,1.4196e-05,1.4196e-05,1.4196e-05
