epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.48986,1.92037,4.62205,0.01987,0.71031,0.01587,0.06817,0.03799,2.16047,4.43747,0.02074,5.88e-06,5.88e-06,5.88e-06
2,5.1523,2.25218,4.60104,0.02062,0.60434,0.01587,0.06835,0.03775,2.24545,4.38957,0.0221,1.75963e-05,1.75963e-05,1.75963e-05
3,5.63227,1.8124,4.74343,0.01531,0.49726,0.01587,0.06321,0.03066,2.33327,4.2453,0.02405,2.92545e-05,2.92545e-05,2.92545e-05
4,6.33772,2.02866,4.63793,0.02563,0.5867,0.01587,0.05809,0.03189,2.0544,4.1319,0.02037,4.08544e-05,4.08544e-05,4.08544e-05
5,7.05637,2.02105,4.48671,0.01794,0.71318,0.02399,0.07969,0.05047,2.04158,3.94382,0.02041,5.23961e-05,5.23961e-05,5.23961e-05
6,7.85305,1.7467,4.1063,0.01473,0.63528,0.0873,0.08504,0.05686,1.83352,3.82614,0.01716,6.38796e-05,6.38796e-05,6.38796e-05
7,8.65964,1.52576,4.09391,0.01442,0.6354,0.15414,0.08019,0.05403,1.71966,3.83013,0.01484,7.53049e-05,7.53049e-05,7.53049e-05
8,9.31922,1.94638,3.82376,0.01723,0.81278,0.25397,0.19012,0.14014,1.94531,3.71632,0.01773,8.66719e-05,8.66719e-05,8.66719e-05
9,10.0529,1.74249,4.3779,0.01915,0.83937,0.25397,0.24349,0.16899,1.87977,3.71988,0.01669,9.79808e-05,9.79808e-05,9.79808e-05
10,10.848,1.39222,3.27551,0.01164,0.84404,0.25397,0.26,0.18322,1.79544,3.67627,0.01604,0.000109231,0.000109231,0.000109231
11,11.7025,1.56693,3.24201,0.01427,0.78741,0.19841,0.22006,0.14847,1.68045,3.58254,0.01491,0.000120424,0.000120424,0.000120424
12,12.3867,1.58423,3.06746,0.01228,0.8205,0.21429,0.28301,0.18961,1.78439,3.33873,0.0158,0.000131558,0.000131558,0.000131558
