epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.21411,1.67243,6.1307,0.01417,0.05556,0.05556,0.06917,0.05533,2.00014,4.18849,0.01913,1.176e-05,1.176e-05,1.176e-05
2,5.78766,1.93348,6.98625,0.01458,0.00654,0.05556,0.05667,0.04533,1.91273,4.18588,0.0185,2.93418e-05,2.93418e-05,2.93418e-05
3,6.34202,1.82376,7.47436,0.01561,0.00483,0.11111,0.05883,0.04674,1.81816,4.18612,0.01744,4.68537e-05,4.68537e-05,4.68537e-05
4,6.86577,1.69684,6.37022,0.01379,0.00132,0.11111,0.06029,0.04805,1.72293,4.17881,0.01615,6.42958e-05,6.42958e-05,6.42958e-05
5,7.62609,1.83434,6.99067,0.01556,0.00078,0.11111,0.05897,0.04716,1.75495,4.17477,0.01661,8.1668e-05,8.1668e-05,8.1668e-05
6,8.43747,1.74747,7.09356,0.01611,0.0004,0.11111,0.05944,0.05282,1.64032,4.06995,0.01528,9.89704e-05,9.89704e-05,9.89704e-05
7,8.93863,1.51755,5.88933,0.01071,0.00032,0.11111,0.05944,0.05296,1.51289,4.04304,0.01409,0.000116203,0.000116203,0.000116203
8,9.45005,1.41411,6.19488,0.01029,0.00223,0.22222,0.062,0.0552,1.4768,3.97639,0.01364,0.000133366,0.000133366,0.000133366
9,9.93744,1.52447,5.96072,0.01122,0.03429,0.26984,0.1029,0.07933,1.42296,3.96503,0.01267,0.000150458,0.000150458,0.000150458
10,10.4485,1.45599,6.04964,0.01057,0.01922,0.28571,0.20754,0.17577,1.37529,3.95627,0.01242,0.000167481,0.000167481,0.000167481
11,10.9981,1.29971,5.87345,0.00928,0.01051,0.28571,0.20691,0.17678,1.34403,3.91154,0.01212,0.000184434,0.000184434,0.000184434
12,11.4704,1.38862,5.96015,0.01027,0.00954,0.30159,0.21787,0.18806,1.28683,3.93934,0.01119,0.000201318,0.000201318,0.000201318
13,11.9561,1.42597,6.23503,0.0099,0.00896,0.37302,0.23857,0.19939,1.2672,3.90057,0.01116,0.000218131,0.000218131,0.000218131
