epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.12868,1.92811,12.4333,0.0175,0.04471,0.18254,0.05341,0.02572,2.00123,11.238,0.02041,1.176e-05,1.176e-05,1.176e-05
2,5.90271,2.37809,15.4842,0.01965,0.04858,0.18254,0.04199,0.02284,2.06993,11.6586,0.02071,2.88179e-05,2.88179e-05,2.88179e-05
3,6.54796,1.97084,16.4462,0.0172,0.11247,0.12698,0.07078,0.03415,1.99619,11.4266,0.01945,4.51772e-05,4.51772e-05,4.51772e-05
4,7.35033,1.98599,12.4806,0.01769,0.01326,0.22222,0.11197,0.10063,1.87374,10.7979,0.0184,6.0838e-05,6.0838e-05,6.0838e-05
5,8.28089,1.88954,13.7749,0.01593,0.00775,0.22222,0.11424,0.10245,1.80533,10.4549,0.01722,7.58003e-05,7.58003e-05,7.58003e-05
6,9.08119,1.81126,13.8186,0.01556,0.18154,0.11111,0.07831,0.07284,1.51131,9.19138,0.01378,9.0064e-05,9.0064e-05,9.0064e-05
7,10.0243,1.48122,9.13323,0.01012,0.16067,0.19561,0.11481,0.10835,1.46146,8.89631,0.0129,0.000103629,0.000103629,0.000103629
8,10.7818,1.48358,9.57671,0.01161,0.4055,0.11111,0.11319,0.10711,1.48951,8.77439,0.01365,0.000116496,0.000116496,0.000116496
9,11.4727,1.40486,8.19073,0.01002,0.29493,0.11111,0.11443,0.10238,1.4235,8.38035,0.01328,0.000128664,0.000128664,0.000128664
10,12.1785,1.48962,8.31172,0.01052,0.43108,0.11111,0.1162,0.10326,1.30804,8.25249,0.01128,0.000140133,0.000140133,0.000140133
11,12.9074,1.33496,7.62045,0.00994,0.76968,0.11111,0.11447,0.10266,1.26391,8.06083,0.01072,0.000150904,0.000150904,0.000150904
12,13.7214,1.39865,7.63107,0.01072,0.99411,0.11111,0.1152,0.1088,1.26869,7.79203,0.01094,0.000160977,0.000160977,0.000160977
13,14.4853,1.46877,7.84604,0.01057,0.92064,0.16233,0.14041,0.12401,1.32071,7.42079,0.01199,0.000170351,0.000170351,0.000170351
14,15.2881,1.21293,6.97832,0.00872,0.51423,0.11111,0.11849,0.09057,1.12344,7.45268,0.00975,0.000179026,0.000179026,0.000179026
15,16.0462,1.26194,6.80906,0.00844,0.51423,0.11111,0.11849,0.09057,1.12344,7.45268,0.00975,0.000187003,0.000187003,0.000187003
16,16.7988,1.36639,5.96487,0.00849,0.6268,0.10264,0.13863,0.0899,1.08753,6.94397,0.00939,0.000194281,0.000194281,0.000194281
17,17.5377,1.09109,7.041,0.009,0.2187,0.18254,0.18069,0.09918,1.11466,6.67966,0.00993,0.000200861,0.000200861,0.000200861
18,18.3451,1.22679,6.36673,0.00882,0.2187,0.18254,0.18069,0.09918,1.11466,6.67966,0.00993,0.000206742,0.000206742,0.000206742
19,19.1906,1.40952,5.73373,0.00995,0.78013,0.16667,0.18944,0.13146,1.12862,6.16229,0.00957,0.000211925,0.000211925,0.000211925
20,19.9086,1.27445,5.15969,0.00804,0.91279,0.21929,0.23974,0.1639,1.07646,5.92023,0.00945,0.000216409,0.000216409,0.000216409
21,20.6671,1.13793,5.80309,0.00956,0.91279,0.21929,0.23974,0.1639,1.07646,5.92023,0.00945,0.000220194,0.000220194,0.000220194
22,21.4252,1.16837,4.89032,0.00781,0.97013,0.16667,0.26112,0.16799,1.05388,5.55413,0.0096,0.000223281,0.000223281,0.000223281
23,22.2096,1.27844,5.98609,0.00979,0.97013,0.16667,0.26112,0.16799,1.05388,5.55413,0.0096,0.00022567,0.00022567,0.00022567
24,23.122,1.1578,5.07634,0.00853,0.95296,0.21178,0.30803,0.20824,1.0613,5.27578,0.00974,0.00022736,0.00022736,0.00022736
25,24.0546,1.22289,4.93525,0.00832,0.95296,0.21178,0.30803,0.20824,1.0613,5.27578,0.00974,0.000228351,0.000228351,0.000228351
26,24.9908,1.38008,4.91123,0.00811,0.1398,0.29365,0.29583,0.19987,1.21233,5.06329,0.0111,0.000228644,0.000228644,0.000228644
27,25.8184,1.24967,4.45195,0.00775,0.1398,0.29365,0.29583,0.19987,1.21233,5.06329,0.0111,0.000228238,0.000228238,0.000228238
28,26.6424,1.28719,5.47907,0.0092,0.21337,0.33454,0.35928,0.21375,1.26182,4.80863,0.01165,0.000227134,0.000227134,0.000227134
29,27.4071,1.16965,4.48186,0.00682,0.21337,0.33454,0.35928,0.21375,1.26182,4.80863,0.01165,0.000225331,0.000225331,0.000225331
30,28.2045,1.13918,3.98809,0.00789,0.21337,0.33454,0.35928,0.21375,1.26182,4.80863,0.01165,0.00022283,0.00022283,0.00022283
31,29.1824,1.37549,5.92648,0.00938,0.3216,0.38267,0.40348,0.2707,1.23304,4.81546,0.01101,0.00021963,0.00021963,0.00021963
32,29.9748,1.16238,4.55365,0.00907,0.3216,0.38267,0.40348,0.2707,1.23304,4.81546,0.01101,0.000215731,0.000215731,0.000215731
33,30.7749,1.26437,4.84922,0.0089,0.41744,0.47466,0.48516,0.33923,1.22597,4.51536,0.01087,0.000211134,0.000211134,0.000211134
